o1,c,o2
0.4799054373522459,0.0,0.731678486997636
0.731678486997636,0.0858085808580858,0.04491725768321513
0.04491725768321513,0.056105610561056105,0.014184397163120569
0.014184397163120569,0.039603960396039604,0.0023640661938534283
0.0023640661938534283,0.66006600660066,0.1430260047281324
0.1430260047281324,0.1782178217821782,0.132387706855792
0.132387706855792,0.1287128712871287,0.013002364066193855
0.013002364066193855,0.5445544554455445,0.023640661938534285
0.023640661938534285,0.0132013201320132,0.015366430260047281
0.015366430260047281,0.9075907590759076,0.0
0.0,0.6567656765676566,0.09692671394799054
0.09692671394799054,0.5478547854785477,0.0425531914893617
0.0425531914893617,0.132013201320132,0.1914893617021277
0.1914893617021277,0.0,0.014184397163120569
0.014184397163120569,0.0594059405940594,0.4468085106382979
0.4468085106382979,0.14191419141914188,0.08274231678486998
0.08274231678486998,0.0924092409240924,0.0059101654846335705
0.0059101654846335705,0.0231023102310231,0.10401891252955082
0.10401891252955082,0.2178217821782178,0.0
0.0,0.0627062706270627,0.13829787234042554
0.13829787234042554,0.09900990099009901,0.12411347517730498
0.12411347517730498,0.0132013201320132,0.5319148936170214
0.5319148936170214,0.056105610561056105,0.05555555555555556
0.05555555555555556,0.036303630363036306,0.009456264775413713
0.009456264775413713,0.0,0.28368794326241137
0.28368794326241137,0.0462046204620462,0.728132387706856
0.728132387706856,0.019801980198019802,0.009456264775413713
0.009456264775413713,0.09900990099009901,0.0
0.0,0.1221122112211221,0.001182033096926714
0.001182033096926714,0.016501650165016504,0.06146572104018913
0.06146572104018913,0.056105610561056105,0.6843971631205674
0.6843971631205674,0.0627062706270627,0.0591016548463357
0.0591016548463357,0.006600660066006601,0.11583924349881798
0.11583924349881798,0.08250825082508251,0.016548463356974
0.016548463356974,0.1056105610561056,0.06264775413711585
0.06264775413711585,0.016501650165016504,0.07328605200945626
0.07328605200945626,0.08250825082508251,0.004728132387706856
0.004728132387706856,0.09900990099009901,0.0023640661938534283
0.0023640661938534283,0.0132013201320132,0.24586288416075652
0.24586288416075652,0.1122112211221122,0.6288416075650118
0.6288416075650118,0.0858085808580858,0.40070921985815605
0.40070921985815605,0.1287128712871287,0.0023640661938534283
0.0023640661938534283,0.17161716171617158,0.023640661938534285
0.023640661938534285,0.0099009900990099,0.8947990543735226
0.8947990543735226,0.019801980198019802,0.0035460992907801418
0.0035460992907801418,0.026402640264026403,0.05673758865248227
0.05673758865248227,0.006600660066006601,0.4030732860520095
0.4030732860520095,0.019801980198019802,0.001182033096926714
0.001182033096926714,0.0132013201320132,0.0023640661938534283
0.0023640661938534283,0.1023102310231023,0.2801418439716312
0.2801418439716312,0.019801980198019802,0.18912529550827423
0.18912529550827423,0.006600660066006601,0.14184397163120568
0.14184397163120568,0.3333333333333333,0.12411347517730498
0.12411347517730498,0.019801980198019802,0.06855791962174941
0.06855791962174941,0.0033003300330033,0.46217494089834515
0.46217494089834515,0.0627062706270627,0.07092198581560284
0.07092198581560284,0.0231023102310231,0.0023640661938534283
0.0023640661938534283,0.016501650165016504,0.0933806146572104
0.0933806146572104,0.19141914191419138,0.06382978723404256
0.06382978723404256,0.0495049504950495,0.05319148936170213
0.05319148936170213,0.41254125412541254,0.3912529550827423
0.3912529550827423,0.0132013201320132,0.2269503546099291
0.2269503546099291,0.1188118811881188,0.32387706855791965
