o1,c,o2
0.19767441860465118,0.33884297520661155,0.02951699463327371
0.02951699463327371,0.024793388429752067,0.22898032200357785
0.22898032200357785,0.008264462809917356,0.025939177101967803
0.025939177101967803,0.1322314049586777,0.07245080500894455
0.07245080500894455,0.024793388429752067,0.0026833631484794278
0.0026833631484794278,0.008264462809917356,0.02057245080500895
0.02057245080500895,0.008264462809917356,0.01520572450805009
0.01520572450805009,0.01652892561983471,0.017889087656529523
0.017889087656529523,0.033057851239669415,0.04203935599284438
0.04203935599284438,0.05785123966942149,0.6091234347048301
0.6091234347048301,0.23966942148760328,0.0966010733452594
0.0966010733452594,0.23966942148760328,0.06618962432915922
0.06618962432915922,0.008264462809917356,0.09481216457960645
0.09481216457960645,0.008264462809917356,0.45348837209302334
0.45348837209302334,0.17355371900826447,0.1824686940966011
0.1824686940966011,0.07438016528925619,0.058139534883720936
0.058139534883720936,0.033057851239669415,0.0026833631484794278
0.0026833631484794278,0.08264462809917356,0.006261180679785332
0.006261180679785332,0.09917355371900827,0.0026833631484794278
0.0026833631484794278,0.04958677685950413,0.008050089445438283
0.008050089445438283,0.008264462809917356,0.008050089445438283
0.008050089445438283,0.04132231404958678,0.12164579606440072
0.12164579606440072,0.01652892561983471,0.6127012522361361
0.6127012522361361,0.024793388429752067,0.0026833631484794278
0.0026833631484794278,0.01652892561983471,0.03220035778175313
0.03220035778175313,0.07438016528925619,0.0017889087656529521
0.0017889087656529521,0.033057851239669415,0.003577817531305904
0.003577817531305904,0.008264462809917356,0.008050089445438283
0.008050089445438283,0.033057851239669415,0.06708407871198568
0.06708407871198568,0.01652892561983471,0.003577817531305904
0.003577817531305904,0.08264462809917356,0.0053667262969588556
0.0053667262969588556,0.09090909090909091,0.012522361359570662
0.012522361359570662,0.08264462809917356,0.011627906976744186
0.011627906976744186,0.01652892561983471,0.010733452593917713
0.010733452593917713,0.008264462809917356,0.0026833631484794278
0.0026833631484794278,0.1983471074380165,0.01520572450805009
0.01520572450805009,0.008264462809917356,0.17620751341681576
0.17620751341681576,0.10743801652892561,0.12880143112701253
0.12880143112701253,0.5041322314049587,0.00894454382826476
0.00894454382826476,0.21487603305785122,0.18157423971377462
